Round,Team,Player,Type,X,Y
3,Carr,20,Open 20,-102.73,4.80
3,Slater,,Open 20,-57.09,-0.47
3,Carr,,Takeout,-54.73,0.07
3,Slater,,Converted 20,-62.73,-2.47
3,Carr,,Takeout,-65.09,-9.57
3,Slater,,Takeout,-64.36,-7.20
3,Carr,,Takeout,-66.73,-6.84
3,Slater,,Takeout,-72.91,-3.57
3,Carr,,Takeout,-71.45,-4.84
3,Slater,,Takeout,-71.45,-3.20
3,Carr,,Miss,-104.18,-7.75
3,Slater,20,Open 20,-104.73,0.43
3,Carr,"20, leave",Converted 20,-104.00,-3.02
3,Slater,20,Open 20,-103.09,7.89
3,Carr,,Miss,-102.55,-12.29
3,Slater,,Open 20,-60.18,2.98
