Round,Team,Player,Type,X,Y
2,Slater,,Open 20,-57.82,-2.47
2,Carr,,Takeout,-70.18,5.34
2,Slater,,Takeout,-72.55,14.07
2,Carr,,Takeout,-78.55,26.07
2,Slater,,Converted 20,-59.64,3.89
2,Carr,,Converted 20,-58.55,0.62
2,Slater,,Converted 20,-57.09,1.89
2,Carr,,Converted 20,-60.55,15.71
2,Slater,,Takeout,-55.45,17.89
2,Carr,,Takeout,-69.82,7.53
2,Slater,,Takeout,-71.27,11.89
2,Carr,,Takeout,-72.36,10.62
2,Slater,,Takeout,-75.45,8.98
2,Carr,,Takeout,-60.00,17.89
2,Slater,,Takeout,-65.64,16.62
2,Carr,,Takeout,-73.09,9.16
