Round,Team,Player,Type,X,Y
4,Slater,20,Open 20,-103.27,6.07
4,Carr,,Open 20,-61.09,-3.02
4,Slater,20,Converted 20,-103.82,2.62
4,Carr,,Open 20,-59.09,-2.29
4,Slater,,Converted 20,-57.64,1.34
4,Carr,"20, leave",Converted 20,-103.64,-1.93
4,Slater,20,Open 20,-102.55,-6.47
4,Carr,Peel,Takeout,-101.82,-14.84
4,Slater,,Open 20,-57.82,-0.84
4,Carr,,Converted 20,-58.73,-5.02
4,Slater,,Converted 20,-62.18,-1.38
4,Carr,Leave,Converted 20,-60.55,38.80
4,Slater,,Takeout,-60.36,30.25
4,Carr,,Takeout,-50.00,-1.02
4,Slater,Purposeful,Miss,-98.73,-21.02
4,Carr,Peel,Takeout,-45.27,42.43
