Round,Team,Player,Type,X,Y
4,Slater,20,Open 20,-60.00,0.07
4,Carr,,Open 20,-60.73,2.62
4,Slater,,Takeout,-65.09,0.07
4,Carr,20,Converted 20,-58.18,-0.66
4,Slater,20,Open 20,-62.36,1.16
4,Carr,20,Open 20,-61.45,-0.66
4,Slater,20,Open 20,-58.73,1.53
4,Carr,20,Open 20,-59.82,-1.57
4,Slater,20,Open 20,-103.09,-0.84
4,Carr,20,Open 20,-103.09,2.62
4,Slater,20,Open 20,-102.55,-4.47
4,Carr,20,Open 20,-102.73,5.16
4,Slater,20,Open 20,-101.82,-7.93
4,Carr,20,Open 20,-102.18,9.34
4,Slater,,Open 20,-58.36,-3.75
4,Carr,,Takeout,-54.73,2.62
