Round,Team,Player,Type,X,Y
1,Carr,,Open 20,-71.82,-4.11
1,Slater,,Converted 20,-62.36,-0.66
1,Carr,,Converted 20,-59.82,0.07
1,Slater,,Converted 20,-46.55,3.34
1,Carr,,Takeout,-18.91,-2.47
1,Slater,,Takeout,-71.64,3.16
1,Carr,,Takeout,-71.82,0.07
1,Slater,,Takeout,-70.55,0.25
1,Carr,,Takeout,-74.36,0.07
1,Slater,,Takeout,-70.91,-2.84
1,Carr,,Takeout,-70.18,-3.93
1,Slater,,Takeout,-72.73,-2.29
1,Carr,,Takeout,-48.36,6.25
1,Slater,Miss,Takeout,-44.55,9.71
1,Carr,Purposeful self takout,Takeout,-35.27,36.98
1,Carr,\,Takeout,-64.73,-44.84
