Round,Team,Player,Type,X,Y
1,Carr,20,Open 20,-103.27,3.71
1,Slater,20,Open 20,-103.45,-0.66
1,Carr,,Open 20,-59.82,-1.75
1,Slater,20,Converted 20,-102.91,-4.84
1,Carr,,Open 20,-61.45,-1.75
1,Slater,,Converted 20,-66.00,-3.57
1,Carr,,Converted 20,-65.45,-0.84
1,Slater,,Takeout,-78.91,2.43
1,Carr,Peel,Takeout,-87.45,34.80
1,Slater,20,Open 20,-103.09,7.53
1,Carr,,Open 20,-61.64,0.43
1,Slater,"20, takeout",Converted 20,-101.64,10.80
1,Carr,20,Open 20,-101.82,-9.02
1,Slater,20,Open 20,-99.09,14.80
1,Carr,20,Open 20,-100.91,-14.29
1,Slater,20,Open 20,-99.45,-17.57
