Round,Team,Player,Type,X,Y
2,Carr,20,Open 20,-103.45,5.89
2,Slater,,Open 20,-58.91,1.89
2,Carr,Leave,Takeout,-69.82,0.62
2,Slater,20,Converted 20,-103.27,2.80
2,Carr,,Takeout,-82.18,0.80
2,Slater,,Takeout,-78.73,5.53
2,Carr,,Takeout,-81.64,3.53
2,Slater,,Takeout,-84.91,4.43
2,Carr,,Takeout,-75.64,4.07
2,Slater,,Takeout,-84.73,1.34
2,Carr,,Takeout,-51.64,8.80
2,Slater,,Takeout,-59.09,13.89
2,Carr,,Takeout,-56.18,14.07
2,Slater,,Takeout,-51.82,11.34
2,Carr,,Converted 20,-61.64,-0.29
2,Slater,20,Converted 20,-104.00,-1.75
