Round,Team,Player,Type,X,Y
1,Slater,20,Open 20,-104.00,4.07
1,Carr,20,Open 20,-103.27,0.43
1,Slater,20,Open 20,-103.27,-2.84
1,Carr,20,Open 20,-102.55,-6.29
1,Slater,20,Open 20,-101.64,-10.11
1,Carr,,Open 20,-59.09,-4.29
1,Slater,,Takeout,-71.27,-3.38
1,Carr,,Takeout,-73.27,-3.75
1,Slater,,Takeout,-56.36,13.34
1,Carr,,Converted 20,-60.00,5.71
1,Slater,,Takeout,-50.55,6.98
1,Carr,"Miss, leave",Converted 20,-93.27,23.71
1,Slater,,Takeout,-84.55,25.16
1,Carr,,Takeout,-75.45,26.07
1,Slater,,Takeout,-76.73,24.43
1,Carr,,Takeout,-74.00,12.43
