Round,Team,Player,Type,X,Y
3,Carr,20,Open 20,-60.00,0.25
3,Slater,,Open 20,-57.64,-1.93
3,Carr,,Takeout,-70.91,4.98
3,Slater,,Takeout,-75.82,11.89
3,Carr,,Takeout,-71.64,16.07
3,Slater,,Takeout,-73.64,10.07
3,Carr,,Takeout,-76.73,16.98
3,Slater,,Converted 20,-58.18,0.43
3,Carr,Rollout,Takeout,-88.55,34.43
3,Slater,20,Open 20,-60.91,-1.38
3,Carr,20,Open 20,-59.09,-1.38
3,Slater,20,Open 20,-62.18,0.62
3,Carr,,Open 20,-59.82,-7.93
3,Slater,,Takeout,-58.18,-5.02
3,Carr,,Converted 20,-65.09,4.25
3,Slater,,Takeout,-68.18,8.98
