Round,Team,Player,Type,X,Y
3,Slater,,Open 20,-58.55,3.34
3,Carr,Leave,Takeout,-68.91,3.53
3,Slater,"20, Leave (touch 20)",Converted 20,-102.36,5.71
3,Carr,,Takeout,-51.09,24.98
3,Slater,,Takeout,-98.73,10.80
3,Carr,,Takeout,-92.91,-11.93
3,Slater,,Takeout,-93.64,-4.84
3,Carr,Peel,Takeout,-100.73,-17.57
3,Slater,Peel,Takeout,-41.82,41.16
3,Carr,Peel,Takeout,-73.45,-42.47
3,Slater,20,Open 20,-103.27,-2.47
3,Carr,20,Open 20,-102.73,-7.38
3,Slater,20,Open 20,-101.64,-11.57
3,Carr,20,Open 20,-60.00,-14.11
3,Slater,Peel,Open 20,-32.91,35.16
3,Carr,Peel,Open 20,-29.45,31.16
